N_TH,WEIGHT_SIZE,EPOCHS,GRID_ROWS,GRID_COLS,N_INPUTS,T_1,T_P,SPEEDUP,EFFICIENCY,COST,LANG
1,10,10,10,10,10,48997,48997,1,1,48997,cpp_adv_stat
2,10,10,10,10,10,48997,42033,1.1656793471796,0.582839673589798,84066,cpp_adv_stat
3,10,10,10,10,10,48997,38951,1.25791378911966,0.419304596373221,116853,cpp_adv_stat
4,10,10,10,10,10,48997,37494,1.3067957539873,0.326698938496826,149976,cpp_adv_stat
1,10,10,10,10,100,395497,395497,1,1,395497,cpp_adv_stat
2,10,10,10,10,100,395497,305204,1.29584474646466,0.64792237323233,610408,cpp_adv_stat
3,10,10,10,10,100,395497,267532,1.47831661259214,0.49277220419738,802596,cpp_adv_stat
4,10,10,10,10,100,395497,258649,1.52908768253502,0.382271920633755,1034596,cpp_adv_stat
1,10,10,100,10,10,310075,310075,1,1,310075,cpp_adv_stat
2,10,10,100,10,10,310075,194278,1.59603763678852,0.79801881839426,388556,cpp_adv_stat
3,10,10,100,10,10,310075,158775,1.95292079987404,0.650973599958012,476325,cpp_adv_stat
4,10,10,100,10,10,310075,142855,2.17055755836338,0.542639389590844,571420,cpp_adv_stat
1,10,10,100,10,100,2742534,2742534,1,1,2742534,cpp_adv_stat
2,10,10,100,10,100,2742534,1817118,1.50927677784272,0.754638388921358,3634236,cpp_adv_stat
3,10,10,100,10,100,2742534,1916964,1.43066536460779,0.476888454869262,5750892,cpp_adv_stat
4,10,10,100,10,100,2742534,1632477,1.67998324019266,0.419995810048166,6529908,cpp_adv_stat
1,10,10,10,100,10,316880,316880,1,1,316880,cpp_adv_stat
2,10,10,10,100,10,316880,190474,1.66363913185002,0.831819565925008,380948,cpp_adv_stat
3,10,10,10,100,10,316880,201855,1.56983973644448,0.523279912148159,605565,cpp_adv_stat
4,10,10,10,100,10,316880,175253,1.80812881947813,0.452032204869531,701012,cpp_adv_stat
1,10,10,10,100,100,2749018,2749018,1,1,2749018,cpp_adv_stat
2,10,10,10,100,100,2749018,1759300,1.56256351958165,0.781281759790826,3518600,cpp_adv_stat
3,10,10,10,100,100,2749018,1427230,1.92612122783294,0.642040409277645,4281690,cpp_adv_stat
4,10,10,10,100,100,2749018,1273382,2.15883214934717,0.539708037336793,5093528,cpp_adv_stat
1,10,10,100,100,10,2638211,2638211,1,1,2638211,cpp_adv_stat
2,10,10,100,100,10,2638211,1710750,1.54213707438258,0.77106853719129,3421500,cpp_adv_stat
3,10,10,100,100,10,2638211,1346890,1.95874273325958,0.652914244419861,4040670,cpp_adv_stat
4,10,10,100,100,10,2638211,1186364,2.22377870535519,0.555944676338797,4745456,cpp_adv_stat
1,10,10,100,100,100,25708559,25708559,1,1,25708559,cpp_adv_stat
2,10,10,100,100,100,25708559,17758569,1.44767064283164,0.723835321415819,35517138,cpp_adv_stat
3,10,10,100,100,100,25708559,18972128,1.35506986880966,0.451689956269885,56916384,cpp_adv_stat
4,10,10,100,100,100,25708559,16511567,1.55700297857859,0.389250744644648,66046268,cpp_adv_stat
1,100,10,10,10,10,60880,60880,1,1,60880,cpp_adv_stat
2,100,10,10,10,10,60880,52223,1.16576987151255,0.582884935756276,104446,cpp_adv_stat
3,100,10,10,10,10,60880,50272,1.21101209420751,0.40367069806917,150816,cpp_adv_stat
4,100,10,10,10,10,60880,44628,1.36416599444295,0.341041498610738,178512,cpp_adv_stat
1,100,10,10,10,100,480741,480741,1,1,480741,cpp_adv_st
2,100,10,10,10,100,480741,350223,1.37267112668214,0.686335563341071,700446,cpp_adv_st
3,100,10,10,10,100,480741,319400,1.50513775829681,0.501712586098936,958200,cpp_adv_st
4,100,10,10,10,100,480741,300510,1.59975042427873,0.399937606069682,1202040,cpp_adv_st
1,100,10,100,10,10,430189,430189,1,1,430189,cpp_adv_st
2,100,10,100,10,10,430189,262799,1.63695067332829,0.818475336664143,525598,cpp_adv_st
3,100,10,100,10,10,430189,206991,2.07829809025513,0.692766030085044,620973,cpp_adv_st
4,100,10,100,10,10,430189,191981,2.24078945312297,0.560197363280741,767924,cpp_adv_st
1,100,10,100,10,100,3451308,3451308,1,1,3451308,cpp_adv_st
2,100,10,100,10,100,3451308,2361668,1.46138576633125,0.730692883165627,4723336,cpp_adv_st
3,100,10,100,10,100,3451308,1870301,1.84532222353514,0.615107407845047,5610903,cpp_adv_st
4,100,10,100,10,100,3451308,1698797,2.03161884557131,0.507904711392827,6795188,cpp_adv_st
1,100,10,10,100,10,429169,429169,1,1,429169,cpp_adv_stat
