N_TH,WEIGHT_SIZE,EPOCHS,GRID_ROWS,GRID_COLS,N_INPUTS,T_1,T_P,SPEEDUP,EFFICIENCY,COST,LANG
1,10,10,10,10,10,1424002.6473999023,1424002.6473999023,1.0,1.0,1424002.6473999023,py
2,10,10,10,10,10,1424002.6473999023,2833173.2749938965,0.5026175631290924,0.2513087815645462,5666346.549987793,py
3,10,10,10,10,10,1424002.6473999023,2442794.5613861084,0.5829399941810434,0.1943133313936811,7328383.684158325,py
4,10,10,10,10,10,1424002.6473999023,2407363.8916015625,0.5915194841825707,0.1478798710456426,9629455.56640625,py
1,10,10,10,10,100,10285001.039505005,10285001.039505005,1.0,1.0,10285001.039505005,py
2,10,10,10,10,100,10285001.039505005,25415195.46508789,0.404679202787687,0.2023396013938435,50830390.93017578,py
3,10,10,10,10,100,10285001.039505005,24457103.25241089,0.420532265549116,0.1401774218497053,73371309.75723267,py
4,10,10,10,10,100,10285001.039505005,23770789.62326049,0.4326739331133028,0.1081684832783257,95083158.493042,py
1,10,10,100,10,10,10882977.724075316,10882977.724075316,1.0,1.0,10882977.724075316,py
2,10,10,100,10,10,10882977.724075316,20559517.14515686,0.5293401419516793,0.2646700709758396,41119034.29031372,py
3,10,10,100,10,10,10882977.724075316,18808651.208877563,0.5786155319281279,0.1928718439760426,56425953.62663269,py
4,10,10,100,10,10,10882977.724075316,17470559.83543396,0.6229323975069394,0.1557330993767348,69882239.34173584,py
1,10,10,100,10,100,106315218.6870575,106315218.6870575,1.0,1.0,106315218.6870575,py
2,10,10,100,10,100,106315218.6870575,201090845.58486933,0.5286924841249807,0.2643462420624903,402181691.1697388,py
3,10,10,100,10,100,106315218.6870575,185966963.76800537,0.571688737251667,0.1905629124172223,557900891.3040161,py
4,10,10,100,10,100,106315218.6870575,172184144.7353363,0.6174506883341336,0.1543626720835334,688736578.9413452,py
1,10,10,10,100,10,10742000.818252563,10742000.818252563,1.0,1.0,10742000.818252563,py
2,10,10,10,100,10,10742000.818252563,19878099.91836548,0.5403937429818417,0.2701968714909208,39756199.83673096,py
3,10,10,10,100,10,10742000.818252563,18401916.02706909,0.5837436059620723,0.1945812019873574,55205748.08120728,py
4,10,10,10,100,10,10742000.818252563,17212126.49345398,0.6240949264658205,0.1560237316164551,68848505.97381592,py
1,10,10,10,100,100,107606983.9000702,107606983.9000702,1.0,1.0,107606983.9000702,py
2,10,10,10,100,100,107606983.9000702,206834116.4588928,0.5202574204988881,0.260128710249444,413668232.9177856,py
3,10,10,10,100,100,107606983.9000702,188508342.74291992,0.5708340667278596,0.1902780222426199,565525028.2287598,py
4,10,10,10,100,100,107606983.9000702,176682418.8232422,0.6090418311950047,0.1522604577987511,706729675.2929688,py
1,10,10,100,100,10,143722230.43441772,143722230.43441772,1.0,1.0,143722230.43441772,py
2,10,10,100,100,10,143722230.43441772,201987926.0063172,0.7115387205368049,0.3557693602684024,403975852.0126343,py
3,10,10,100,100,10,143722230.43441772,186802980.8998108,0.7693786776962684,0.2564595592320895,560408942.6994324,py
4,10,10,100,100,10,143722230.43441772,173794560.1940155,0.8269662196214511,0.2067415549053627,695178240.776062,py
1,10,10,100,100,100,1442375833.9881897,1442375833.9881897,1.0,1.0,1442375833.9881897,py
2,10,10,100,100,100,1442375833.9881897,2021392485.1417544,0.7135555537038816,0.3567777768519408,4042784970.283508,py
3,10,10,100,100,100,1442375833.9881897,1858675682.5447085,0.776023406091716,0.2586744686972387,5576027047.634125,py
1,10,10,10,10,10,60884.0,60884.0,1.0,1.0,60884.0,cpp
2,10,10,10,10,10,60884.0,53193.0,1.1445866937379,0.572293346868949,106386.0,cpp
3,10,10,10,10,10,60884.0,48653.0,1.25139251433622,0.417130838112073,145959.0,cpp
4,10,10,10,10,10,60884.0,42956.0,1.4173572958376,0.3543393239594,171824.0,cpp
