N_TH,WEIGHT_SIZE,EPOCHS,GRID_ROWS,GRID_COLS,N_INPUTS,T_1,T_P,SPEEDUP,EFFICIENCY,COST,LANG
1,10,10,10,10,10,48997,48997,1,1,48997,cpp_adv
2,10,10,10,10,10,48997,42033,1.1656793471796,0.582839673589798,84066,cpp_adv
3,10,10,10,10,10,48997,38951,1.25791378911966,0.419304596373221,116853,cpp_adv
4,10,10,10,10,10,48997,37494,1.3067957539873,0.326698938496826,149976,cpp_adv
1,10,10,10,10,100,467417,467417,1,1,467417,cpp_adv
2,10,10,10,10,100,467417,263528,1.7736900822683,0.886845041134149,527056,cpp_adv
3,10,10,10,10,100,467417,304749,1.53377697711887,0.511258992372958,914247,cpp_adv
4,10,10,10,10,100,467417,242284,1.92921117366396,0.482302793415991,969136,cpp_adv
1,10,10,100,10,10,310075,310075,1,1,310075,cpp_adv
2,10,10,100,10,10,310075,194278,1.59603763678852,0.79801881839426,388556,cpp_adv
3,10,10,100,10,10,310075,158775,1.95292079987404,0.650973599958012,476325,cpp_adv
4,10,10,100,10,10,310075,142855,2.17055755836338,0.542639389590844,571420,cpp_adv
1,10,10,100,10,100,2742534,2742534,1,1,2742534,cpp_adv
2,10,10,100,10,100,2742534,1817118,1.50927677784272,0.754638388921358,3634236,cpp_adv
3,10,10,100,10,100,2742534,1916964,1.43066536460779,0.476888454869262,5750892,cpp_adv
4,10,10,100,10,100,2742534,1632477,1.67998324019266,0.419995810048166,6529908,cpp_adv
1,10,10,10,100,10,316880,316880,1,1,316880,cpp_adv
2,10,10,10,100,10,316880,190474,1.66363913185002,0.831819565925008,380948,cpp_adv
3,10,10,10,100,10,316880,201855,1.56983973644448,0.523279912148159,605565,cpp_adv
4,10,10,10,100,10,316880,175253,1.80812881947813,0.452032204869531,701012,cpp_adv
1,10,10,10,100,100,2749018,2749018,1,1,2749018,cpp_adv
2,10,10,10,100,100,2749018,1759300,1.56256351958165,0.781281759790826,3518600,cpp_adv
3,10,10,10,100,100,2749018,1427230,1.92612122783294,0.642040409277645,4281690,cpp_adv
4,10,10,10,100,100,2749018,1273382,2.15883214934717,0.539708037336793,5093528,cpp_adv
1,10,10,100,100,10,2638211,2638211,1,1,2638211,cpp_adv
2,10,10,100,100,10,2638211,1710750,1.54213707438258,0.77106853719129,3421500,cpp_adv
3,10,10,100,100,10,2638211,1346890,1.95874273325958,0.652914244419861,4040670,cpp_adv
4,10,10,100,100,10,2638211,1186364,2.22377870535519,0.555944676338797,4745456,cpp_adv
1,10,10,100,100,100,25708559,25708559,1,1,25708559,cpp_adv
2,10,10,100,100,100,25708559,17758569,1.44767064283164,0.723835321415819,35517138,cpp_adv
3,10,10,100,100,100,25708559,18972128,1.35506986880966,0.451689956269885,56916384,cpp_adv
4,10,10,100,100,100,25708559,16511567,1.55700297857859,0.389250744644648,66046268,cpp_adv
1,100,10,10,10,10,60880,60880,1,1,60880,cpp_adv
